step,logged_score,prediction_parsed,root_key_matches,ground_truth_segments,prediction_segments,output_characters,metadata_coverage,raw_rule_score,weighted_rule_score,mean_rule_iou,conditional_rule_score,missing_rule_rate,semantic_token_f1,rule_exact_rate
1,0.26566095966614367,0.9860248447204969,0.9324534161490683,8.248447204968944,7.1436335403726705,1657.0201863354037,0.8001632713896865,0.4157510716957473,0.11527818505263439,0.23291897732169364,0.5298140456607008,0.17580385560199788,0.1580429768316879,0.28937588485134497
5,0.2645992784534083,0.9875776397515528,0.9619565217391305,9.826086956521738,8.175465838509316,2074.9992236024846,0.8147246650541489,0.3596285073289382,0.11142907762282463,0.2365950348795428,0.4737128811153185,0.21330946819384136,0.155619749442843,0.3092237903225806
10,0.28194665974128563,0.9943609022556391,0.9943609022556391,9.323308270676693,8.86654135338346,2093.315789473684,0.8522256293089627,0.41214037857543506,0.12433047741927099,0.2750523486612325,0.4728244008127277,0.13841444769849828,0.19653000343574095,0.4087119033927545
20,0.3025663406903246,0.9943609022556391,0.9943609022556391,7.87218045112782,8.288533834586467,2272.160714285714,0.790348960250276,0.3810387450349618,0.1349108723382268,0.2952646673353778,0.4622032145760356,0.13473870970687488,0.18856001322185603,0.35786290322580644
30,0.29848968366792294,0.9918831168831169,0.9918831168831169,7.597402597402597,10.310876623376624,2855.4253246753246,0.8122881126339625,0.3899186040112867,0.1295645741960275,0.3012534711434268,0.4530585041446686,0.1010014065789686,0.17402935542339076,0.3925481957488878
40,0.31563213722741273,0.9953416149068323,0.9937888198757764,8.726708074534162,10.339285714285714,2803.248447204969,0.8771270827171448,0.43461993374972385,0.14899575444553356,0.31921235558350153,0.4733821938064399,0.08079119745653593,0.1969872452729774,0.3907766990291262
50,0.34597791220801294,0.9967532467532467,0.9967532467532467,8.428571428571429,10.159090909090908,2521.906655844156,0.8425768158322946,0.438467204499763,0.16386315502586496,0.3472212262654538,0.4845067395081413,0.08418803012505911,0.22773464887111955,0.44774726739536125
60,0.32278181040121107,0.9926948051948052,0.9926948051948052,9.266233766233766,10.790584415584416,3128.8425324675327,0.839530149484383,0.4009976493990834,0.15660505146526885,0.34502158113770537,0.46647859203480124,0.09806641960361834,0.19630174791345498,0.331266261925412
70,0.3376330928270459,0.9940476190476191,0.9940476190476191,8.571428571428571,11.479166666666666,3454.063988095238,0.857814454064454,0.4195994238633231,0.1660119010700096,0.3615477663807823,0.46092198424794983,0.08712916486342576,0.2090544017295059,0.379343105320304
80,0.34820511810142885,0.9959415584415584,0.9959415584415584,7.792207792207792,8.728084415584416,2449.944805194805,0.8633939771194674,0.42272710986722256,0.17154731183680888,0.3697975877311656,0.4707639662021624,0.08646568868966037,0.2258410690488513,0.37731053604436227
87,0.38000123790184714,0.9968944099378882,0.9968944099378882,8.521739130434783,10.107919254658386,2524.1964285714284,0.7720245393312828,0.43995254673509127,0.19860548355456772,0.3983820105564619,0.49267062211540785,0.08859186016403744,0.2158988979038937,0.4346236969234681
