_step,training/global_step,reward_extra/score/mean,reward_extra/f1_segment/mean,reward_extra/f1_temporal/mean,reward_extra/format_score/mean,reward_extra/json_parse_ok/mean,reward_extra/schema_valid/mean,reward_extra/metadata_score/mean,reward_extra/metadata_coverage/mean,reward_extra/metadata_effective_weight/mean,reward_extra/metadata_mean_iou/mean,reward_extra/metadata_score_bool/mean,reward_extra/metadata_score_numeric_exact/mean,reward_extra/metadata_score_numeric_diff/mean,reward_extra/metadata_score_categorical/mean,reward_extra/metadata_score_score_dict/mean,reward_extra/metadata_score_short_exact/mean,reward_extra/metadata_score_short_edit/mean,reward_extra/num_metadata_bool_fields/mean,reward_extra/num_metadata_numeric_exact_fields/mean,reward_extra/num_metadata_numeric_diff_fields/mean,reward_extra/num_metadata_categorical_fields/mean,reward_extra/num_metadata_score_dict_fields/mean,reward_extra/num_metadata_short_exact_fields/mean,reward_extra/num_metadata_short_edit_fields/mean,reward_extra/num_pred_segments/mean,reward_extra/num_gt_segments/mean,response_length/mean
3,3,0.2806469790803669,0.2500833015499513,0.46999834413327585,0.9508928571428571,0.9941770186335404,0.907608695652174,0.10716432823554048,0.8095287648859076,0.3238115059543631,0.2271986215578043,0.13976491973634278,0.11990878660716336,NaN,0.12530061341070023,0.14954861302578745,0.10392471579629375,0.11508008823884529,2.515527950310559,0.20496894409937888,0.0,0.018633540372670808,0.11180124223602485,15.608695652173912,6.925465838509317,6.649844720496894,7.204968944099379,517.2740478515625
4,4,0.2650967228848365,0.23972609391202637,0.43774954071072375,0.9445008116883117,0.9983766233766234,0.890625,0.0950059685469242,0.8477408008658007,0.3390963203463203,0.22732768610160844,0.14212448955322513,0.03375184299431473,NaN,0.24268742675923333,0.057048015661669116,0.08947871634160333,0.10526300789316068,2.9935064935064934,0.33116883116883117,0.0,0.045454545454545456,0.2727272727272727,16.88961038961039,6.85064935064935,7.314123376623376,8.383116883116884,529.6128540039062
5,5,0.2645992784534083,0.23556275163869714,0.44819688407020375,0.9303183229813664,0.9930124223602484,0.8676242236024845,0.09965452209601751,0.8081114683767938,0.3232445873507175,0.22269256272328755,0.16408590145405205,0.06519135418386268,NaN,0.1273251739532257,0.12539023517109912,0.09650107418488335,0.10383627064837385,3.8509316770186337,0.14285714285714285,0.0,0.11180124223602485,0.2608695652173913,19.26086956521739,9.127329192546584,8.259316770186336,9.712732919254659,630.396728515625
6,6,0.2754725947826639,0.24458751073946994,0.42030548984226096,0.958299512987013,0.9935064935064936,0.9230925324675324,0.11444502046642369,0.8592184835366654,0.3436873934146661,0.22981847511078773,0.15997224376015912,0.05541890781627484,NaN,0.2940687933667622,0.24204320094522708,0.1180074061661454,0.11978243237143783,2.987012987012987,0.2532467532467532,0.0,0.05844155844155844,0.045454545454545456,19.458603896103895,8.995941558441558,6.9521103896103895,7.974837662337662,550.289794921875
8,8,0.2884861749603071,0.27000760255209544,0.4707948031617391,0.9582686335403726,0.9976708074534162,0.9188664596273292,0.11502087856724758,0.8417502442347163,0.33670009769388654,0.2619327967509381,0.17468169859902125,0.11347038872487887,NaN,0.14525642049618354,0.16703529620684768,0.11241795366797144,0.12163690325685741,4.813664596273292,0.33540372670807456,0.0,0.08695652173913043,0.16770186335403728,18.279503105590063,10.4472049689441,7.909937888198757,9.31055900621118,603.6257934570312
9,9,0.2752818249393052,0.2494977405091994,0.4697758383494008,0.9552600931677019,0.9968944099378882,0.9136257763975155,0.10393368737999834,0.8359547112652703,0.33438188450610806,0.23201758747620327,0.1691151454164122,0.11937132076850294,NaN,0.2018335677899168,0.14583189822683093,0.08770896251343693,0.11125217374672683,3.283385093167702,0.20496894409937888,0.0,0.062111801242236024,0.11180124223602485,16.70885093167702,10.347049689440993,7.649844720496894,8.798913043478262,575.3587036132812
10,10,0.28194665974128563,0.25941798605533417,0.487181092233104,0.962640977443609,0.9971804511278195,0.9281015037593985,0.1166726202941223,0.8458179178103991,0.33832716712415956,0.26046508667192664,0.22481182777899322,0.07551958333615579,NaN,0.14038169856216326,0.029018190914230493,0.11173325825771292,0.12457457606106967,3.6390977443609023,0.14285714285714285,0.0,0.08270676691729323,0.08270676691729323,15.781954887218046,6.421052631578948,8.901315789473685,9.323308270676693,616.1024169921875
12,12,0.2965586231604094,0.27352735042812554,0.5007014717281568,0.9496753246753247,0.9955357142857143,0.903814935064935,0.11179354939089606,0.8093471823991305,0.3237388729596522,0.2490520329032782,0.19822047793918235,0.08670420533535013,NaN,0.7284830718105574,0.25604297937110226,0.1164196855638548,0.11408076038135291,3.012987012987013,0.2857142857142857,0.0,0.012987012987012988,0.025974025974025976,18.103896103896105,8.7987012987013,7.841720779220779,8.62987012987013,593.9537353515625
13,13,0.28955558676754084,0.26466219354978276,0.44847542893395487,0.9584627329192547,0.9976708074534162,0.9192546583850931,0.11894907804831543,0.8295485977485092,0.33181943909940376,0.26666207220447513,0.21544698685762242,0.018598759458569265,NaN,0.23684234241480043,0.009481843744425355,0.10848662351132343,0.142017545428419,3.3354037267080745,0.3105590062111801,0.0,0.062111801242236024,0.38509316770186336,15.695652173913043,8.695652173913043,8.232919254658386,7.956521739130435,631.5675659179688
14,14,0.29280638876406756,0.2669081696121584,0.45971947978368943,0.9518633540372671,0.9972826086956522,0.906444099378882,0.12038995639698126,0.8460136524965717,0.33840546099862867,0.25786498282524417,0.1423688727018054,0.18288846156819652,NaN,0,0.028622762763190823,0.13117783097362395,0.12744695742776238,2.6149068322981366,0.16770186335403728,0.0,0.024844720496894408,0.13664596273291926,12.161490683229813,7.341614906832298,8.041149068322982,7.248447204968944,595.30126953125
