rule_type,early_fields,late_fields,early_raw,late_raw,raw_delta,early_weighted,late_weighted,early_exact,late_exact,early_length_ratio,late_length_ratio,sample_cluster_delta,raw_delta_ci95_low,raw_delta_ci95_high,early_sample_clusters,late_sample_clusters
bool,12584,12472,0.5547520661157025,0.7191308531109686,0.1643787869952661,0.19835208333592785,0.32001716234957556,0.5547520661157025,0.7191308531109686,0.710239281400966,0.8948128993002737,0.11015868905803028,0.05155657339931084,0.16932605213509774,110,117
numeric_exact,416,664,0.4014423076923077,0.4397590361445783,0.038316728452270576,0.06116603256258887,0.1064311965386248,0.4014423076923077,0.4397590361445783,0.912037037037037,0.875,0.01601212042788125,-0.200325386042098,0.2275114437758798,16,23
categorical,296,200,0.6790540540540541,0.81,0.130945945945946,0.19023302436849418,0.25219992617067655,0.6790540540540541,0.81,0.9572463768115942,0.98109243697479,0.14375000000000004,-0.015069444444444429,0.2898263888888889,18,18
score_dict,608,560,0.12335526315789473,0.04642857142857143,-0.0769266917293233,0.054709502319854705,0.016702400434730588,0.08881578947368421,0.030357142857142857,0.649353448275862,1.617537313432836,-0.06497108660570197,-0.250229458041958,0.1441870629370628,22,13
short_exact,62376,64496,0.3612126458894447,0.4236231704291739,0.06241052453972923,0.12413313550260885,0.18553910226614612,0.3613729639604976,0.4237161994542297,0.7574625658937292,1.0649753902945474,0.025105500562841665,-0.016237350743558185,0.06844186279626244,300,318
short_edit,29096,31904,0.3127556804204809,0.43827840749952596,0.12552272707904505,0.10782173236128005,0.19075073551577318,0.16277151498487766,0.21129012036108324,0.6742668264729016,0.9340725587948412,0.05225562071858281,0.014923993980730276,0.08889713680754588,301,359
